Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
NSVR-2,None,None,3944.5923477333004,6933.151898859708,21.78321768939934,13.912684384251218,1186.8792889428976,20.953956886631694
NSVR-2,ANOVA1,None,409.16796224545544,312.2996867447253,14.413392583246477,4.157424985205185,1246.5505435552752,22.809832545313977
NSVR-2,ANOVA2,None,349.40911780468963,357.3061101757117,11.80699111933001,4.596374602413323,1228.2327374719864,20.928639249170065
NSVR-2,ANOVA3,None,4626.865852704048,8447.941305919107,20.56699119777261,16.285715837678232,1213.7962981780388,20.971498587533144
NSVR-2,CHISQ1,None,409.16796224545544,312.2996867447253,14.413392583246477,4.157424985205185,1246.5505435552752,22.809832545313977
NSVR-2,CHISQ2,None,349.40911780468963,357.3061101757117,11.80699111933001,4.596374602413323,1228.2327374719864,20.928639249170065
NSVR-2,CHISQ3,None,361.4477771816514,331.29866622444433,12.6507017327138,3.935935096360309,1209.1711491398853,21.065389029560325
NSVR-2,MIT1,None,409.16796224545544,312.2996867447253,14.413392583246477,4.157424985205185,1246.5505435552752,22.809832545313977
NSVR-2,MIT2,None,349.40911780468963,357.3061101757117,11.80699111933001,4.596374602413323,1228.2327374719864,20.928639249170065
NSVR-2,MIT3,None,361.4477771816514,331.29866622444433,12.6507017327138,3.935935096360309,1209.1711491398853,21.065389029560325
NSVR-2,PCR1,None,409.16796224545544,312.2996867447253,14.413392583246477,4.157424985205185,1246.5505435552752,22.809832545313977
NSVR-2,PCR2,None,407.819337223991,310.319178097996,14.390411895916396,4.117294565907759,1238.4637114613531,22.743934971415474
NSVR-2,PCR3,None,3924.1102532774757,6977.4551245621,22.370628820626663,16.489214642306163,1235.326675747978,22.660540535925513
NSVR-2,None,DL1,4675081.083589635,5850812.757192939,917.4809746401052,981.9907563006371,16888218.06798548,2368.451037496414
NSVR-2,None,DL2,418358.4607429996,430916.6628593038,298.58413982430454,238.82678497517034,2423839.444401384,872.027191862017
NSVR-2,None,DL3,345648.90916115826,394615.47822703316,274.40000001329014,214.48597883132828,1644057.7045536025,719.9619794006805
NSVR-2,None,FA1,7136.950616144927,12169.538320022959,32.89455726003759,18.83981821903994,751.8461514097534,20.615384635370944
NSVR-2,None,FA2,1275.8545077155547,527.807672939805,24.55696636383042,3.3384458106036874,736.3013168920438,20.5578471507914
